(15, 1)/(4, 5)-->16
(15, 1)/(7, 5)-->13
(15, 1)/(8, 5)-->12
(15, 1)/(9, 5)-->11
(15, 1)/(10, 5)-->10
(15, 1)/(13, 5)-->9
(15, 1)/(14, 5)-->10
(15, 1)/(15, 5)-->9
(15, 1)/(16, 5)-->8
(15, 1)/(1, 6)-->22
(15, 1)/(2, 6)-->21
(15, 1)/(3, 6)-->20
(15, 1)/(4, 6)-->19
(15, 1)/(7, 6)-->16
(15, 1)/(8, 6)-->15
(15, 1)/(9, 6)-->14
(15, 1)/(10, 6)-->13
(15, 1)/(13, 6)-->12
(15, 1)/(14, 6)-->13
(15, 1)/(15, 6)-->12
(15, 1)/(16, 6)-->11
(15, 1)/(1, 9)-->23
(15, 1)/(2, 9)-->22
(15, 1)/(3, 9)-->21
(15, 1)/(4, 9)-->20
(15, 1)/(7, 9)-->17
(15, 1)/(8, 9)-->16
(15, 1)/(9, 9)-->15
(15, 1)/(10, 9)-->14
(15, 1)/(13, 9)-->13
(15, 1)/(14, 9)-->14
(15, 1)/(15, 9)-->13
(15, 1)/(16, 9)-->12
(15, 1)/(1, 10)-->26
(15, 1)/(2, 10)-->25
(15, 1)/(3, 10)-->24
(15, 1)/(4, 10)-->23
(15, 1)/(7, 10)-->20
(15, 1)/(8, 10)-->19
(15, 1)/(9, 10)-->18
(15, 1)/(10, 10)-->17
(15, 1)/(13, 10)-->16
(15, 1)/(14, 10)-->17
(15, 1)/(15, 10)-->16
(16, 1)/(1, 2)-->19
(16, 1)/(2, 2)-->18
(16, 1)/(3, 2)-->17
(16, 1)/(4, 2)-->16
(16, 1)/(7, 2)-->13
(16, 1)/(8, 2)-->12
(16, 1)/(9, 2)-->11
(16, 1)/(10, 2)-->10
(16, 1)/(13, 2)-->9
(16, 1)/(14, 2)-->8
(16, 1)/(15, 2)-->7
(16, 1)/(16, 2)-->6
(16, 1)/(1, 5)-->20
(16, 1)/(2, 5)-->19
(16, 1)/(3, 5)-->18
(16, 1)/(4, 5)-->17
(16, 1)/(7, 5)-->14
(16, 1)/(8, 5)-->13
(16, 1)/(9, 5)-->12
(16, 1)/(10, 5)-->11
(16, 1)/(13, 5)-->10
(16, 1)/(14, 5)-->9
(16, 1)/(15, 5)-->8
(16, 1)/(16, 5)-->7
(16, 1)/(1, 6)-->23
(16, 1)/(2, 6)-->22
(16, 1)/(3, 6)-->21
(16, 1)/(4, 6)-->20
(16, 1)/(7, 6)-->17
(16, 1)/(8, 6)-->16
(16, 1)/(9, 6)-->15
(16, 1)/(10, 6)-->14
(16, 1)/(13, 6)-->13
(16, 1)/(14, 6)-->12
(16, 1)/(15, 6)-->11
(16, 1)/(16, 6)-->10
(16, 1)/(1, 9)-->24
(16, 1)/(2, 9)-->23
(16, 1)/(3, 9)-->22
(16, 1)/(4, 9)-->21
(16, 1)/(7, 9)-->18
(16, 1)/(8, 9)-->17
(16, 1)/(9, 9)-->16
(16, 1)/(10, 9)-->15
(16, 1)/(13, 9)-->14
(16, 1)/(14, 9)-->13
(16, 1)/(15, 9)-->12
(16, 1)/(16, 9)-->11
(16, 1)/(1, 10)-->27
(16, 1)/(2, 10)-->26
(16, 1)/(3, 10)-->25
(16, 1)/(4, 10)-->24
(16, 1)/(7, 10)-->21
(16, 1)/(8, 10)-->20
(16, 1)/(9, 10)-->19
(16, 1)/(10, 10)-->18
(16, 1)/(13, 10)-->17
(16, 1)/(14, 10)-->16
(16, 1)/(15, 10)-->15
(1, 2)/(2, 2)-->2
(1, 2)/(3, 2)-->3
(1, 2)/(4, 2)-->4
(1, 2)/(7, 2)-->7
(1, 2)/(8, 2)-->8
(1, 2)/(9, 2)-->9
(1, 2)/(10, 2)-->10
(1, 2)/(13, 2)-->13
(1, 2)/(14, 2)-->14
(1, 2)/(15, 2)-->15
(1, 2)/(16, 2)-->16
(1, 2)/(1, 5)-->2
(1, 2)/(2, 5)-->3
(1, 2)/(3, 5)-->4
(1, 2)/(4, 5)-->5
(1, 2)/(7, 5)-->8
(1, 2)/(8, 5)-->9
(1, 2)/(9, 5)-->10
(1, 2)/(10, 5)-->11
(1, 2)/(13, 5)-->14
(1, 2)/(14, 5)-->15
(1, 2)/(15, 5)-->16
(1, 2)/(16, 5)-->17
(1, 2)/(1, 6)-->7
(1, 2)/(2, 6)-->8
(1, 2)/(3, 6)-->9
(1, 2)/(4, 6)-->10
(1, 2)/(7, 6)-->11
(1, 2)/(8, 6)-->12
(1, 2)/(9, 6)-->13
(1, 2)/(10, 6)-->14
(1, 2)/(13, 6)-->17
(1, 2)/(14, 6)-->18
(1, 2)/(15, 6)-->19
(1, 2)/(16, 6)-->20
(1, 2)/(1, 9)-->8
(1, 2)/(2, 9)-->9
(1, 2)/(3, 9)-->10
(1, 2)/(4, 9)-->11
(1, 2)/(7, 9)-->12
(1, 2)/(8, 9)-->13
(1, 2)/(9, 9)-->14
(1, 2)/(10, 9)-->15
(1, 2)/(13, 9)-->18
(1, 2)/(14, 9)-->19
(1, 2)/(15, 9)-->20
(1, 2)/(16, 9)-->21
(1, 2)/(1, 10)-->11
(1, 2)/(2, 10)-->12
